prediction_day,abc,allstarcharts,benzinga,bespokeinvest,business,cnbc,cnbcnow,dealbook,dkellercmt,ft,hmeisler,ibdinvestors,incredibletrade,jimcramer,johnscharts,lmt978,markets,marketwatch,nytimesbusiness,optionshawk,profgalloway,reddogt3,reutersbiz,robintheblack,ryandetrick,schuldensuehner,sjd10304,sjosephburns,skynews,stocktwits,thestalwart,usatoday,usatodaymoney,wsj,wsjmarkets,zerohedge,y
2019-09-11,-0.4091077540412698,-0.011884794913333328,-0.03913288268333333,0.254405259,0.03901652711061904,-0.10090142299985444,-0.4775717253481482,-0.4748373933333333,-0.10899013946666664,-0.12321949836177776,-0.009951941366666665,0.03604922500000005,0.031057467066666664,-0.6083141599999999,0.272988188,0.05409466879999999,0.18430194048666662,-0.04068972789714857,-0.28401416193111106,0.565774108,-0.31316769999999994,0.04837100346349203,-0.14778076011111108,0.003189226,-0.2001579646666667,-0.0148542999999999,-0.016066931,0.15677527,-0.11540749913333334,0.5570409397233332,-0.6166890313333333,0.01852813424444443,-0.17601794548928573,-0.07060477698628287,0.23606021368055552,-0.13896487537333332,1.0
2019-09-12,-0.3484439583771428,-0.02127165849,-0.05942196613333334,0.12049329422222226,0.04085605548514285,-0.006457352266012184,-0.035322553389629696,-0.49222818,0.03106746940000002,-0.39103999978222215,0.0020257289999999996,0.009368557666666694,0.15153953799999997,-0.39341402766666667,-0.1028277543333333,0.034563782499999994,0.17970125753722216,0.055971808199149216,-0.20720915390793646,0.246289777,-0.31316769999999994,0.010612056261904743,-0.020807531622222226,0.0007756549999999999,-0.507049511,-0.0148542999999999,-0.016066931,0.30851556199999997,-0.2644218809666667,0.08629175,-0.7531903437777777,0.07240745615555554,-0.175418209627013,-0.0008558658151818638,0.14778246264666664,-0.1182657303822222,1.0
2019-09-13,-0.38262333841079355,-0.02942137953333333,0.026253224483333323,0.1980240332777778,0.009284837967393968,-0.021026754115669885,0.05412050012444446,-0.32645426083333334,0.09664339626666668,-0.15941349859999998,0.01726025503333333,0.01652730800000001,-0.12188420519999998,-0.5227743341333333,-0.11453839833333335,0.020841939961111132,0.1886548885877777,-0.01193762607536504,-0.06842469620857142,0.10641996533333332,-0.19646403999999998,0.132795252055873,0.08596655955555552,0.0007756549999999999,-0.43121198139999994,0.07529804000000007,-0.016066931,0.19164174766666667,-0.24878014485833333,-0.07531838333333335,-0.821441,-0.18075617926666665,-0.2763295169898485,-0.028145491266303068,0.07026803718899996,-0.12030244516888883,0.0
2019-09-16,-0.3036054080920634,0.039210268680952357,-0.03328565197777776,0.0930120468666667,-0.018878343773659424,-0.02313560874553766,-0.08605465436148152,-0.19209604683333334,0.09154690213333333,-0.32097078152222214,0.026429975499999998,0.057525476,-0.10247254426666666,-0.4985347279333333,-0.11731168026666666,0.017555104236161606,-0.03305654569500005,-0.03630115647118883,-0.13901895090753966,0.01917132780000001,-0.2015517693333333,0.1965472511831746,-0.2107870753,0.0007756549999999999,-0.21364313225333334,0.14741991200000004,-0.016066931,0.082968667,-0.32096432269999997,-0.16916155626666665,-0.8590217,-0.3784768718555555,-0.23858531085363638,-0.08263036885353536,0.028082338521999983,-0.24040823789999993,1.0
2019-09-17,-0.2284306621923809,0.08282980322571426,-0.1673771872888889,-0.008263908044444442,-0.16213283896156994,-0.1004503228230766,-0.2426836992474074,-0.09397781826666668,-0.03222770942222224,0.06812146275555556,0.0295348904,0.06835560999999998,-0.047260020599999994,-0.48428383706666667,-0.09155108495000001,-0.059877495588181825,-0.3303112306666667,-0.09451510874048884,-0.14986122279206346,-0.11920393993333331,-0.25525960186666663,0.1537688508438095,-0.20546454248888893,0.008022047333333332,-0.008688850840000026,0.20151131600000002,-0.016066931,0.061504119999999995,-0.490100596075,-0.19523776880000002,-0.5773381261,-0.5481383035,-0.1218634822557576,0.05767731362323229,-0.012164727036666677,-0.4659889771111111,1.0
2019-09-18,-0.18396279179111108,0.11988794663428567,-0.2842096278,-0.16959496828888884,-0.10020014607448054,-0.07973373578117991,-0.09521779320000001,0.06245948561999999,-0.026109171266666658,0.07707209359333336,0.03149395146666666,0.08215182666666665,0.0019897382000000075,-0.36451440153333337,-0.032292231933333346,-0.3160309716791919,-0.5867241166666667,-0.03640130451150316,-0.09437679446992063,-0.1821129173333333,-0.38378940106666665,0.1798048183044444,-0.2689542211777778,0.1266645512,0.36829195050666663,0.237572252,-0.016066931,0.03243874666666667,-0.33675122895,-0.15354702093333333,-0.35048803897999997,-0.3868706811666667,-0.09254760719359306,0.17109223456666667,-0.013649564862000006,-0.4944558335888889,1.0
2019-09-19,-0.14849865806984122,0.12907871722571423,-0.36836737584444446,-0.12753724642222217,-0.19975907231255774,-0.08286817552442897,0.03018564666666665,0.16634425883999998,-0.02687093259999999,0.25921773374133333,-0.20617581199999999,0.08842304666666667,0.019135948800000004,-0.20960404666666665,0.03384633988333333,-0.14517244343686864,-0.7791703996666667,-0.013629279194238071,-0.14119347596999998,-0.04790011797142854,-0.4909428469333333,0.1871555858984127,-0.2873587566888889,0.1044792159,0.4403050668533333,0.25560272,-0.016066931,0.033707619999999994,-0.429351563225,-0.07069024666666666,-0.1159914029288889,-0.2508380725,-0.012790387245541126,0.2117294798555555,-0.18317299362066666,-0.3991349768,0.0
2019-09-20,-0.05522936925079365,0.12901970501714283,-0.2637966786555555,-0.4235106579111111,-0.09319948684039685,-0.06432523828048188,0.034443035199999965,0.17016530828222218,-0.04366766046666663,0.23599508472266667,-0.15155013153333335,0.09288817399999999,0.0597912564,-0.05845004999999999,0.17786380883333333,0.006903889138787922,-0.8962588336666667,-0.025074879381595215,-0.07631067594388888,0.06850411640952382,-0.3436694794666666,0.24093492858095236,-0.2543847287933333,0.08163742067333331,0.14501707397777774,0.25560272,0.007377445999999999,0.06531073999999999,-0.21844453003333336,-0.04571451919999999,0.05117573919999997,-0.1877231915,0.13140416755099568,0.21775070215111106,-0.19189421639999998,-0.26240406432,0.0
2019-09-23,-0.2641428894206349,0.014478472508571427,-0.150289595,-0.2739558816666666,-0.0014007990946428711,-0.07064150687303913,0.0406269477333333,0.16669946751333328,-0.3269094943333333,0.177455834704,-0.17658636183333332,0.09554720866666666,0.2981485681333333,0.02869150600000001,0.12382399574444447,0.13747678900000002,-0.611407864,-0.025703298031452326,-0.20233314216626264,-0.14561649587619047,-0.19828911866666663,0.09207930265608466,-0.33168097790133333,0.057452835886666664,-0.22836078171111115,0.25560272,0.02658583826666667,0.26560326666666667,-0.11780598325999996,-0.026982723599999998,0.03394781535111112,-0.07449527949999998,0.13764570150308802,0.11630460997999999,-0.20049852519999997,-0.30512528720266663,1.0
2019-09-24,-0.0853264762666667,-0.005301045663809529,-0.053696621,-0.5054944941422221,0.02945454804343911,0.01633135137621313,0.07841302966666666,-0.08390016202222224,-0.5481147084,0.15812329631866667,-0.12755292308,0.1683143973333333,0.4853969112666666,0.07908539266666667,0.07587656972222223,-0.12486806666666664,-0.48271229893333334,-0.08544726529914282,-0.27114719272878784,0.05461688603809524,-0.074491896,0.14929817168677248,-0.26284763234266667,0.035062646766666664,-0.5263799443333333,0.18934003755,0.041014776999999995,0.41319604,-0.2502137123533333,-0.014494859866666664,-0.03471262800888888,0.04179376818333333,0.012327658838884065,0.01604151023333332,-0.18324577206666665,-0.2492434157631111,0.0
2019-09-25,0.06096218321111109,-0.015053603700000001,0.047966641666666664,-0.6819113586177779,-0.0759333073842908,-0.019935894307867907,0.069557643,-0.2947821581111111,-0.4395665072999999,0.28601357553333334,-0.07620055619333332,0.22489264399999997,0.33275584340000003,0.09273161000000002,0.07940863524166669,-0.34833418,-0.5704472888000001,-0.18744387000461105,-0.26253028214242424,0.10860489895238096,0.018728288000000003,-0.07772283028698407,-0.43172947845066656,-0.016875873486666665,-0.4734381685555556,-0.1885140992933333,0.0506642622,0.52389062,-0.4765201301133333,-0.008250928,-0.09245596409999995,-0.037176803833333334,0.08186487318949488,-0.03459774339666667,-0.07729853333333334,-0.23559700743466663,1.0
